,train_x,train_y
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1,"[0.001281516321042098, 0.0025752592077358284, 0.003938293892513491, -0.0022265549986018843, 0.004891162433222306, 0.001606087381753363, 0.003280960819182702, 0.005598600513657942, -0.006869347282376735, -0.0038190474189716806, -0.007208655341503197, -0.0022904590366171, 0.005004253519169823, -0.002768755812287676, -0.001872719570067542, 0.006248634435035046, 0.001089836245623954, 0.0012469349046373072]",0.0
2,"[0.0006154377466449744, -0.00572436455345652, 0.004082573149369303, 0.0006438629255595839, 0.0008690842687693284, -0.0013670643833320925, 0.0008310628376625319, -0.002276055650973515, -0.00883427720881768, 0.0008180101503304681, 0.012273750850549438, -0.0016518617802223942, 0.004678807195002927, 0.0009326357061537036, 0.0018689473756572901, -0.0003225413482891878, -0.0011534975264936706, 0.0002608089258136979]",0.0
3,"[0.005741778280878243, 0.005110639613620832, -0.0005858447730850548, -0.00470241158162405, 0.0026699834647450848, -0.0010113551737663952, 0.006527544513838205, 0.000977925335120947, 0.008428668888052365, 0.002092972957298905, 0.0015235941305338178, -0.007314081733105678, 0.004214322182446771, 0.0020507464231257237, -0.007441562870405716, 0.0055486196566983306, -0.0007601688142240421, -0.009063735301483735]",0.0
4,"[-0.0059639564002601664, -0.0001334763336082942, 0.0011213647834049027, 0.008689270399567989, -0.007601187707002591, -0.009319443556424209, -0.0026624291440984355, 0.0019069802395143144, -0.0031929072494167395, 0.006023320619992488, 0.0017198106912949245, 0.005612180773561342, 0.005136218635973296, 0.003921527065057704, 0.0040470891657717984, -0.0008021017400482026, -0.0007145584113951802, 0.0005268653619574894]",0.0
5,"[0.003312371745223683, 0.0010581815560207688, 0.0033686350524523016, 0.002436164573499276, 0.003353144413870271, -0.0007747463370573727, 0.00038480489628431, -0.0031553035547825653, -0.005877630608752182, 0.0016743114668353234, 0.002497326303469876, 0.0008968278195508976, -0.005078761732775287, -0.004549062529257125, -0.003884115532070194, 0.00010960984323293663, -0.004957070122453617, 0.0014428514120680854]",0.0
6,"[-0.0012617100400139068, -0.0080675466474468, 0.000246572222401864, 0.0028200774184834456, -0.0054454818454481545, 0.0017074476357560424, -0.00032767295631429467, 0.0036440152254171502, -0.0023179788251058557, 0.0014234635833163414, 0.00022673166571999582, 0.001075916404181214, -0.00022358285250358877, 0.005634353033491611, -0.0008745034583940879, 0.0025928466794775625, 0.0004322404614054383, 0.0023950588585131835]",0.0
7,"[0.00318271496704129, 0.0004255834156594547, -0.00496319511049751, 0.002069036277556889, 8.952752767558622e-05, -0.0006050344808628692, -0.0042798649568485, -0.0018860736722446467, 0.0005447609902066396, -0.0009334000437357887, 0.005502560874970696, -0.003969464090094301, 0.002409928079331492, 0.008604024761409104, 0.005500860489841524, -0.0014915454367403374, -0.0019246625480687386, -0.0011111560768195757]",0.0
8,"[0.0052876022088920675, -0.001851304699209842, -0.003268200099923452, -0.0035967230241731717, 0.006797768270558748, -0.00394499125222533, -0.000731879601431013, 0.005700342049366841, 0.0036637055165606464, 0.0023632059667035342, 0.0025899482422609087, 0.0011664718902549285, 0.0009931746939163934, 0.003584518694648508, -0.0032069295901316704, -0.0028632077168027335, 0.006769400759835813, -0.0017650959062178466]",0.0
9,"[0.003968689057968175, -0.006932125454499226, 0.0036073636869923377, 0.0009087446114411913, -0.00025173405239969096, 0.00011420279982494746, 0.002895062596623045, -0.004417172355680219, 0.001987360424448052, -0.007277612812705337, -0.0038695377830372433, 0.0019163023361501962, -0.0023837859290482114, 0.004548397956216006, 0.0002741494826476088, 0.004503803425298369, -0.005695776015470824, -0.0034186604356539786]",0.0
10,"[-0.00370185346439722, -0.003223428089143631, 0.0027711266323656113, -0.0006642792141872031, -0.007659506464441781, -0.0017001027044180111, -0.004006596033053501, 0.0016467895814386367, 0.002795313318553513, 0.0037457385782527974, -0.0026689334440797075, -0.0024499226563549086, 0.002415389036225304, 0.005236519937807788, 0.007615138329539628, 0.0005680874359776308, 0.006688401610428201, -0.0049914779892679725]",0.0
