,train_x,train_y
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.8, 7.5, 0.0]",65.85664517483099
1,"[0.006996756313905824, -0.0013785716758775188, 0.0020694917943263466, -0.0024372374908419505, -0.0018494265300458422, -0.0022228813323914636, 16.658481953706513, 2.374157121994748, 0.12906537803686624]",0.0
2,"[-0.008052646515424467, 0.004448715047855579, 0.0026091234319595286, 0.0018344087837207455, 0.009033103158221006, -0.008715632028811891, 13.486529435946746, 0.10453155243479095, 0.0]",0.0
3,"[-0.0043402101506837465, -0.0005923148245215589, 0.00840256828817023, -0.00503317612160614, -0.0019513207267815398, 0.0007299175533368742, 2.964066001444122, 11.228575959290131, 8.988596374523407]",4.8686586381017426e-77
4,"[0.005813046977011673, 0.0019086388461469264, -0.002761851284526689, 0.0021384705942776128, 0.004033483539930758, -0.0023842472796584487, 18.161610495367295, 4.5746795623642775, 1.1655542056716306]",0.0
5,"[0.004062781638385552, 0.0019466078869341459, -0.000392513764886866, 0.002485384032544482, -0.005158009839900522, -0.004206365343619861, 2.939633567324206, 7.262128678242107, 0.6118963231338335]",4.5415510680706756e-101
6,"[-0.0019557356816589486, -0.00175287183329134, 0.002480360659014649, -0.002867738850671488, 0.00280572041765266, 0.005851589168574942, 11.866524588055261, 0.0, 8.063630469780586]",0.0
7,"[0.0009706586508972572, 0.0006792900841314908, 9.939605508337876e-06, 0.003178578094017122, 8.944398780793963e-06, 0.0012189478104548943, 0.0, 6.890826102911858, 1.7701862131374608]",8.863499978915628e-165
8,"[-0.001957133834090853, 0.0032330931897235383, -0.005185817660972121, 0.00024164195388121622, 0.0011378678216012216, 0.0033392130128135915, 6.450088046782566, 17.881915018910274, 10.35257272618578]",0.0
9,"[0.0003206810420077024, -0.0009846427706841905, -0.0028433274922644533, -0.0004534044410933773, -0.0005821167728173702, -0.00201095973344036, 6.52596969271915, 5.758250117956206, 0.0]",0.6084674027819975
10,"[-0.006994303905997069, -0.004987315321910542, 0.000646926584559781, -0.001128710038427716, -0.0005458111480644138, 0.009390204710540946, 6.494262172135278, 9.593061659671623, 9.467623901130274]",0.0
11,"[-0.004282434553888222, 0.000983178442202012, 0.0067142785800362054, 0.005323435939743683, 0.0029598766190609806, -0.0032664102392689033, 2.6918668697000045, 3.578668285960268, 0.0]",3.451620881011413e-47
12,"[0.0028477658538365396, 0.0016702988692207164, -0.0065493618656804935, -0.0020617409776863293, -0.0022364028770816345, -0.0011229875574296122, 7.918864501494977, 4.0279068720190105, 0.0]",3.063885758999682e-09
13,"[0.0011266681169255885, -0.0021933880372293126, 0.004171357806714971, 0.004099091666795371, -0.0018965469143568895, -0.00019792677251744692, 7.903035004584919, 8.136047348834534, 0.0]",2.714359919030845e-39
14,"[0.0007227531969492617, 0.0004975203794191221, -0.00709861108954774, 0.005751928765194659, -0.00288849065138008, -0.005982766536567185, 1.3768215207822498, 0.3795900855437022, 0.0]",0.0
15,"[-0.002445437269278208, -0.0009196738364570176, 0.006283405498337799, -0.0031776575323132737, 0.0030035580881566408, 0.0012882649024240826, 6.7838161044087055, 10.988247901793963, 0.0]",2.965684680442751e-99
16,"[-0.0015196647961286214, 0.003312263770224356, 0.00016413621615489647, 0.0012385071308227099, 0.009693466649211117, -0.001421139495130641, 10.623412410919654, 19.739052692096976, 11.143728206117343]",0.0
17,"[0.0008991080598871944, -0.003095885752176921, 0.008154864288911465, -0.0024804564410411925, -0.0047468558617318685, 0.001742040903824291, 9.357660210277507, 0.4854819380138711, 0.0]",0.0
18,"[-0.0023038666714696038, -0.0003085010358260867, -0.00047861118802699256, -0.006721389758440458, 0.0014349853899542995, -0.001989182323208053, 0.0, 2.1838900691643026, 0.0]",0.0
19,"[-0.003165447996596066, 0.000756228156041552, -0.0015606295931434625, 3.441146140871132e-05, -0.0022091189898814562, 0.0012543133236902352, 14.923140055731972, 12.920467704949173, 0.0]",1.825336898804691e-10
