,train_x,train_y
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.8, 7.5, 0.0]",0.20796966989199944
1,"[-3.291498983494681e-05, 0.0028990220691262796, -0.0035641596772776644, 2.7571230782322022e-05, -0.005503206504061562, 0.001193377476929475, 2.9559802561130946, 8.864707906343781, 1.6416877307733242]",0.0
2,"[0.0048953342704862, 0.000842988981256735, 0.0030266284556547617, 0.0028555801127697835, -0.005373487357792185, 0.005660147864483311, 18.697193037099893, 5.296569058276116, 0.0]",0.0
3,"[0.0013460332546870082, -0.005914408159329786, 0.001036333900662999, -0.0029142482958245896, 0.0016391363881071938, 0.007410164941329356, 9.515574230138807, 9.91823161644627, 1.5877146023638558]",3.7236571420197475e-07
4,"[0.0020465596027888357, 0.0003937767095945817, 0.0007758759913259346, -0.0005174573979244863, 0.001528081848258676, 0.0021622445533538547, 3.7121214385660553, 8.545394838479867, 0.0]",4.09836287539e-312
5,"[0.0020479643038863087, 0.00475276836876864, -0.005342086733548969, -0.00025217087229275687, 0.0005785002981881938, -0.00491740228554966, 8.0529340197912, 12.1227194604225, 0.0]",3.370468075759887e-64
6,"[0.004888566886198752, -0.0014145810904500247, -0.0025723280427674506, 0.0031334344095147377, -0.004371536532151684, -0.003759501322507553, 17.918944147938277, 8.953770812316469, 0.0]",6.955063793182856e-164
7,"[0.0014261287455552595, -0.0009803556910266671, 0.0027061787296505323, -0.0007856342498449116, -0.0024614168357264972, -0.007694116210835083, 9.584059552379356, 9.755088725070573, 6.684078564670935]",7.12421148944295e-76
8,"[-0.0010119920147648375, -0.0031950363461134912, -0.008748345465548492, -0.0003912832343289638, 0.003281265316239207, 0.00019520924445268515, 11.089870421611803, 17.513913712023715, 0.0]",2.04667855765178e-68
9,"[0.0031951158474840214, 0.002455504049748766, 0.001384785872876897, 0.0028746390504725576, 0.0007711941159441906, -0.00607115566770191, 13.034762920034407, 5.259324329850749, 3.005381054041906]",0.0
10,"[0.006248284904275347, -0.0073496335672363884, 0.0055845706471415865, 0.003641361891932645, -0.0013451749564036308, -0.004117725943687904, 9.05231685741576, 0.0, 0.0]",0.0
11,"[-0.0012002459553867018, 0.002971460355949752, -0.001607504189656782, -0.0015671193901833688, 0.0008773519715448405, -0.0023710520491013426, 4.08169410140539, 5.27906167978032, 8.194819828404517]",1.722148725398537e-141
12,"[-0.0010754395051999644, 0.002896757468009132, 0.0038701145722721455, -0.003444453047519611, -0.0014431437838501085, -0.0012177888059108641, 8.256282823101595, 17.55195023165656, 0.0]",1.938446334907428e-37
13,"[0.0062477128608383215, -7.128699640596919e-05, -0.004213663137994884, -0.0026218647253873108, -0.0022863370453491704, 0.007103600357365671, 5.516678627244483, 14.183314245548637, 0.0]",0.0
14,"[-0.0006407027205535076, -0.0005997063172980457, 0.0020183547449386103, 0.0021590396131687213, -0.0012836978058565717, 0.010316274349659977, 10.802294491747801, 3.4680666761461305, 0.0]",1.1622909071941499e-11
15,"[-0.002063271172565171, -0.0035163179122811618, 0.007718882931916529, 0.0010061349489082336, -0.0030789641553679945, -0.006497691760764372, 0.0, 10.815330820259716, 4.046117601854066]",7.125802040020172e-284
16,"[-0.003997068755537296, -0.004059031899410131, 0.0037614665909992454, -0.0004386711069247993, 0.0030960123794350875, -0.00035965606324887323, 14.559474085462032, 10.714640212386888, 0.0]",8.682578277882112e-36
17,"[0.008388360280414323, 0.003352422286831473, -0.0037732144690620756, -0.006599676582950731, 0.006116375413427848, -0.0012291116891489198, 3.1757519512192207, 9.7074419428482, 0.0]",0.0
18,"[0.0031323658856051875, -0.0068341271827212745, -0.0001991798731120526, -0.004901392071801985, 0.0033263224978596715, -0.0018810006220166692, 11.791740782233592, 1.959784664268045, 0.0]",0.0
19,"[-0.012903844076896546, 0.003387132340100852, -0.001190177847481481, 0.009744879661275954, 0.004337230096651429, 0.0026577472645158565, 4.271796011603929, 9.55454127554057, 9.157880206742924]",1.211388359836814e-301
20,"[-0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 52.128956860212796, 52.117878455117925, 53.39232606196025]",0.0
21,"[0.02, -0.02, -0.02, 0.02, 0.02, -0.02, 54.900240305586145, 55.73624757390541, 54.59925697522715]",0.0
22,"[-0.005226133968211767, 0.0006424498330725278, -0.0007349013989776355, 0.0007620224786823275, 0.00036442191152785545, 0.000573600722106103, 5.80810207106198, 0.5625224077937345, 0.8238607090012273]",0.0
23,"[-0.02, -0.02, -0.02, -0.02, 0.02, 0.02, 49.47945315292287, 51.341244514382886, 54.09272025874751]",0.0
24,"[0.02, 0.02, 0.02, -0.02, -0.02, 0.02, 58.59146820087764, 42.349146939127834, 57.06718372112772]",0.0
25,"[-0.0010376115010655045, 0.00474523162886269, 0.002802724154331169, 0.0032088692965529884, 0.005831977489468185, 0.0021667367738749327, 7.742313392089156, 3.3365361014446075, 4.895654314050044]",0.0
26,"[-0.010693128737326283, 0.00015408109988346554, -0.0034834753473289163, -0.009000701332587947, -0.00789619581502005, 0.0007571512619814513, 17.842765163149654, 3.1364215034106135, 8.405044185076362]",0.0
27,"[-0.001750099037184966, -0.0032883032463195366, -0.0018340790807446145, 0.003431818235447723, -0.0008307707262072817, 0.00010500914363692466, 1.2630052279296367, 5.886915625086884, 1.723012114063899]",1.540676480372794e-11
28,"[-0.02, -0.02, 0.02, 0.02, -0.02, -0.02, 59.1902796996392, 53.45264612022121, 58.86174524240673]",0.0
29,"[-0.0012712374755529945, 0.0018284248932149702, 0.0026757988100475447, -0.004215455203503656, -0.0015885595187075177, 0.000685471340756898, 2.187334024606527, 1.9543087885451758, 1.048014936000274]",4.851593740566682e-06
30,"[0.02, 0.02, 0.02, 0.02, 0.02, -0.02, 59.75010271301107, 59.80674914669636, 10.238745390994076]",0.0
31,"[-0.0005251419534177576, -0.00013278364163514904, -0.0018999041642420056, 0.0015553748408318226, 0.0006883019405326516, 6.081693157798725e-05, 7.791119013640412, 2.3845594511220645, 0.8558743261414768]",0.014107012447665287
32,"[-0.0005920153504066712, 0.000704925146360383, 0.0014999914252317916, 0.007318068411203914, 0.0014742296298985245, 0.0012640165865502979, 7.157285438681101, 20.531664377271827, 1.635745478436297]",0.0
33,"[-0.0025340330919059227, 0.002563345965103313, -0.0021051896649796047, -0.0017635609074758511, 0.0014551319575066958, 0.0005850786091312811, 17.701115772770184, 4.789422048458648, 1.874134615090415]",0.0
34,"[0.02, 0.02, -0.02, -0.02, 0.02, -0.02, 57.63554947624977, 25.793859322722536, 57.1922454470955]",0.0
35,"[-0.0013237126545868772, -0.0021279967641919524, -0.00032041636184721036, -0.0002658150172001016, -0.0006580863333331383, -5.9227819946261794e-05, 4.915742185236487, 11.967394038077703, 2.385993278131267]",0.00016808084156334825
36,"[0.0005564190547301032, 0.00042290875280549963, 9.409406950948848e-05, 0.0007154836871729063, -0.00015283736577231046, -8.126270726381598e-05, 7.744864031446183, 4.412927997956388, 0.0]",0.0008618767099160444
37,"[-0.02, 0.019999999999999997, -0.02, -0.02, -0.02, -0.02, 58.34361367712488, 55.38900495719704, 51.289578855671515]",0.0
38,"[0.002918206660782674, -0.002244968033335235, -0.006491339386816111, 0.006658867494397666, 0.005572102356520246, -0.00017563725190409939, 3.500995848102286, 0.5017575164521413, 1.126731356880199]",9.499381100041087e-66
39,"[-0.005645092591309675, 0.00792788188688759, 0.008320500256791602, -0.009991224547028443, 0.010028222284575323, 0.002564864665569284, 8.53360491940926, 22.933257490205943, 0.16789546947953404]",0.0
40,"[0.02, 0.02, -0.02, 0.02, -0.02, 0.02, 55.50230452578815, 59.76087554936432, 15.657181008376797]",0.0
41,"[4.3380766378536534e-05, -0.0010985463421364942, 0.0008058686443989984, -0.0016631910406643908, -0.005188969333739731, 0.0005288295060790642, 5.172862812513574, 4.7594167955776125, 3.618902432665843]",0.09945803752429347
42,"[0.00022053759828794572, -0.0019521499765094174, 0.0012902230661842094, -0.0028158425333306377, -0.009104493764280717, 0.0008191211110171007, 3.1838625538915117, 2.4656538393124823, 3.4186386876846195]",2.219189854403578e-12
43,"[-0.00013090436520455414, -0.00160783964529785, 0.001225578723507275, -0.002429428610144497, -0.007633196031831871, 0.0006652341969561468, 5.179244361257989, 5.369412068647189, 2.2823081812967265]",2.013277003507972e-26
44,"[-0.0006482513926057769, -0.001344785143948921, 0.001161532491491441, -0.002003471048501368, -0.006664187537840956, 0.0006155680546208129, 6.615755313882327, 9.406654670994707, 1.2178862458570698]",6.446952431100804e-63
45,"[0.002267202748361656, -0.0006456681321730678, 0.0019187008232738685, -0.0016708344813952324, -0.005433019260551454, 0.0011773721915940424, 1.5762402978320376, 6.136177515153358, 4.571390601454937]",5.069504959177376e-06
46,"[-0.0014344826446943191, -0.004146968385100534, -0.002754060290310351, -0.002331525546315572, -0.005705558774506149, 7.957210679964881e-05, 6.478372308776486, 2.9244712430936928, 7.457764764905823]",0.0
47,"[0.0002624376060833939, 0.0034947653110397985, 0.0032302970524002257, 0.0005264362663243586, -0.004209172726255196, -9.934478230626765e-05, 3.996071675861043, 1.0627282221080194, 0.477001029523795]",7.780794363810827e-13
48,"[-0.0028455296903240543, -0.003480904275006682, -0.00047285928993010586, -0.006977611525579977, -0.0001585936390969375, -0.0007123675681084124, 2.647457577082351, 5.975577787770954, 3.082850413314852]",0.0
49,"[-0.00043786321608023485, 0.0001328662493196043, 9.326632574406154e-05, 0.00045084399234907366, -0.003074816724836956, 0.00022724681513494277, 11.175162206863824, 1.6159259615545905, 0.5477824456484631]",3.4304644432245375e-134
50,"[-0.002064006497856214, -0.0007811659109876782, -0.0017241205489549197, 0.008654176013311525, -0.01220239659329743, 7.836731288716392e-05, 0.11687790169871923, 4.205690759641695, 0.20939568094534844]",0.0
51,"[0.0012052820837398445, 0.0003184133557166551, 0.0019262378620138363, -0.00021744355391717187, 0.000319119030388791, 0.0008156121794518513, 7.764111403499958, 12.479719233088769, 1.769927777578107]",1.4072742498667045e-13
52,"[0.02, -0.02, -0.02, -0.02, -0.02, 0.02, 1.122514064678028, 42.083721189131666, 58.080154788467915]",0.0
53,"[0.004339412544105721, 0.0035179439776577177, 0.0015592988459657224, -0.007582743462515762, -0.0042570567246336686, 0.0006441702572952847, 9.904891916818936, 3.88807917579393, 2.1763023121902814]",0.0
54,"[-0.0004956889553530484, -0.003922851202626989, 0.001965301514287354, 0.0005556032926428981, 0.0015573426271611199, 0.0006031833931307794, 1.9865466437673658, 0.8287276950824465, 1.3552351559549058]",1.7023181631161238e-08
55,"[0.02, -0.02, 0.02, -0.02, -0.02, -0.02, 59.1560378635941, 22.836100953533133, 59.782957069559124]",0.0
56,"[-0.003305452572513711, 0.0005303401728278877, -0.0017744905338592804, 0.0005887950780828611, -0.0017919099262604665, -0.0004396640350914486, 5.511842955116158, 11.874505670977873, 0.9754864865456861]",2.6278824046714975e-141
57,"[0.006012650355061417, -0.004028328939610626, -0.008389655218916943, -0.0029734751154122507, -0.007587631507597611, -0.002579412372338497, 2.906168474707584, 1.44193023048697, 2.847704525218353]",1.4004098922231542e-39
58,"[-0.0034279749182645654, -0.0006752557191630949, 0.013754051667503963, -0.001981068667669296, -0.008597218343812343, 0.007512544569024907, 0.05980245898449214, 5.0750249615236935, 5.458882932125214]",2.449373128032865e-29
59,"[-0.0038449093039280937, -0.00237485779276823, 0.0011278696349542813, 0.0026848595653549386, -0.0031141805540761463, -0.0003128785003376667, 17.456081948539325, 2.1592456867333314, 6.069648210855508]",0.0
60,"[0.005197668214134544, 0.0035344883733991416, 0.0007064992020563165, 0.0012521268785223515, 0.0009623320343805241, 0.0013261268931514332, 2.18535532645818, 1.3000142703973725, 2.0852854327810992]",0.0
61,"[-0.02, -0.02, 0.02, -0.02, -0.02, 0.02, 56.81028973648655, 56.73115545112561, 7.501980335703641]",0.0
62,"[-0.00694549968700506, 0.00117153550716768, -0.0028745078813684597, -0.004056260325253849, -0.00033038523803762465, -0.010098770070436967, 2.7229034941101173, 2.1805691716969813, 4.488826776074524]",0.0
63,"[0.00039108839564864286, -0.0007029873702094943, 0.00016769604735677028, 5.647512778038461e-05, 0.0003203678640005254, 0.0004792108321691201, 5.789873650720634, 9.880238719055065, 0.9277330491956304]",0.00010529962572686569
64,"[0.0006131100376467788, -0.014073815205508948, 0.0009157339311929353, -0.002738138891135461, -0.010918515672366987, 0.0030641993055776267, 2.7280129618215243, 16.44083891513336, 4.317435141854106]",0.0
65,"[-8.398606775342931e-05, 0.0006847101154216637, -0.0003615367226642647, -0.0010185249806989988, 0.00015573543527970705, 0.0007231622138496962, 13.903730078566618, 5.781536824919118, 0.12084611414578818]",0.0
66,"[0.02, -0.02, 0.02, 0.02, 0.02, 0.02, 57.673142258815616, 5.877067335403765, 52.897822191078845]",0.0
67,"[-0.0030220713466528543, 0.009035380255948538, -0.00107463489641037, -0.0006941214135710339, -0.007008683491078068, 0.005035464107841266, 3.836784871076811, 12.72793475788812, 4.027961369819966]",0.0
68,"[0.001638991384011132, -0.0019860895455119576, 0.0008668006841806015, 0.000841186533564221, 0.0003453677974037782, -0.0008494548748444002, 7.944839674240704, 13.151679456009996, 1.4351777670090966]",3.076017966804868e-55
69,"[0.0005821553463469473, -0.0013275832302268975, -0.002016668934426473, -0.0021221080405113505, -0.0019313674480806447, 0.002654178015966389, 8.914990120541004, 1.4553599578971446, 4.126837917919858]",1.9408586793121987e-07
70,"[-0.0015432487611659817, 0.00034749630647111745, 0.004613883775572745, -0.0011969458695490149, -0.0010649743342089671, -0.002460903406132086, 9.215796205146939, 0.4344513094319822, 0.06582825569256848]",0.0
71,"[-0.02, 0.02, -0.02, 0.02, -0.02, 0.02, 59.87959306228357, 8.032783855003064, 53.00098223873691]",0.0
72,"[-0.0005153163117641175, -2.8601754317454103e-05, -0.003049590062681498, 0.002212258075700425, 0.00048950506011371, 0.0006527973777012275, 14.182580579806139, 6.246325541940764, 0.679036324143098]",3.0604314282518576e-177
73,"[-0.02, -0.02, -0.02, 0.02, 0.02, -0.02, 0.9469782221215315, 58.12324247871303, 59.7082203561615]",0.0
74,"[0.008357056550023534, 0.0005882993113982255, 0.004404287425903432, 0.0010537777628902548, -0.006524663296180115, -0.001672313243667834, 1.1021744118751626, 16.222722012122404, 2.6550719911588843]",0.0
75,"[-0.0010310511769764726, -0.00042673030515225015, -0.00013610094584176675, -0.0008036204407517685, 0.000137848844778047, -6.636983842767076e-05, 5.463144783908198, 7.611807885854292, 0.7000140360199278]",0.03201170833587651
76,"[-0.002044458313067542, -0.0007972230400970078, -0.0011544164266246357, -0.002052509958585568, 0.0018295307749285146, 0.0007152081362888361, 1.9810506975301234, 2.8325449286997935, 1.1981193682880327]",0.0008608080875546001
77,"[-0.0012559726879833439, -0.00024674412536201154, 0.0002729120099351995, -0.000606491078253453, 0.00018727244693859114, -0.00036667460301631504, 7.449021274964062, 9.168426855847331, 1.1784333659442932]",0.21245539907539107
78,"[-0.0034215652624023547, -0.00013568429254191608, 0.0006675103669588824, -0.0012115627570144362, 0.0024077310823277793, -0.0012151007259924775, 8.552668576278306, 10.511818287861857, 0.8038052380603544]",2.2640036984858855e-06
79,"['HEBT2:XCB2', 'HEBT2:YCB2', 'HEBT2:XCB4', 'HEBT2:YCB4', 'HEBT2:XCB6', 'HEBT2:YCB6', 'HEBT2:Q5:CUR', 'HEBT2:Q6:CUR', 'HEBT2:Q7:CUR']",2.2640036984858855e-06
