,train_x,train_y
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.8, 7.5, 0.0]",0.20796966989199944
1,"[0.0004985940884963007, -0.002597352342315316, -0.0025597621754407164, -0.00023741949190397152, -0.0047081123286372255, 0.005339397169125321, 0.9820585405468227, 3.5955283817761856, 4.383983928899069]",3.380053849950764e-102
2,"[-0.0021747496423600286, 0.002644290257841663, 0.00370167311551628, -0.0013033040286787702, -0.0053247708462950735, -0.005927650160276087, 6.861205511083943, 0.0, 11.363326752161656]",0.0
3,"[0.00754255021485624, -0.000666831340711352, -0.0010697918235712354, -0.005402189642230777, -0.0008137980943245334, -0.009179878913559468, 0.0, 11.133294379425086, 3.619479228426367]",0.0
4,"[0.001794103325377831, -0.00383090077137914, -0.009974313620575064, 0.0003698432399776646, -0.0023301376417038835, 0.0040917401960272074, 5.48382053113567, 10.423158308374878, 0.5780063676617838]",1.211425951094296e-200
5,"[-0.0008116214946488493, 0.010362341527855186, 0.0053702987096102975, -0.001806261715589202, 0.012919546010840392, 0.0007010300446562868, 13.708253293350385, 4.402051869858067, 0.0]",0.0
6,"[0.003564061916586854, 0.003576598425704997, -0.00024832830312336763, 0.003129422444156813, 0.000785059401192472, -0.0008104972381261475, 8.203313468172391, 12.59299791291857, 16.530614931431387]",0.0
7,"[0.0014832262251181325, -0.005724003995656235, -0.0024821880343924695, -0.0009299828478125634, -0.0009243150184514916, 0.0013936105619606147, 8.355895470952579, 6.513157141575167, 0.0]",0.03577240604329656
8,"[-0.0035305045932159324, 0.005148614457067258, -0.0018749984407388741, 0.000854818671416266, 0.0013896640825840148, 0.0028743150641869944, 10.876948206183767, 16.3881815029958, 0.0]",1.66492555e-315
9,"[0.0054782059004135466, 0.009294985564511008, -0.005127482233472067, 0.003504058797100098, 0.004805774753928016, -0.004486170157559087, 7.823894580968102, 5.178873955912292, 0.46475556626616527]",0.0
10,"[0.0028741484537835402, 0.004949343071100494, 0.00015934505741490576, 0.0007533001984800136, 0.008490057995892008, -0.0007079112077640991, 11.93398643816705, 7.301639518532423, 15.622447734268672]",0.0
11,"[0.009731044112213382, -0.0035908107018562266, -0.005181038382335247, 0.0034220870293862828, 0.0017578786461346476, -0.003550161878268894, 2.0035112380670954, 16.732418619271023, 4.5749488595065655]",0.0
12,"[-0.00133689889747922, -0.0005499750166453832, -0.0004310005615676696, -0.002806364475104127, 0.0005017717174048565, -0.0017571843977953858, 10.72044584514477, 4.388065783015479, 0.0]",1.4292416558554058e-257
13,"[0.003317409358209023, 0.0035170817045467005, 0.004705271683541261, 0.0044580200404868795, 0.0016459905434220528, 0.003343954739378379, 5.011640539961643, 10.519276867584981, 0.25139508007290035]",0.0
14,"[0.002576916623628919, 0.0003316781231924841, 6.752450586473878e-05, 0.0058686829835365535, -0.0007310551882317954, 0.0019039523679116638, 19.5900458658511, 8.93452955380882, 0.0]",0.0
15,"[-0.004860973060022697, 0.004421954465581934, 0.0038287737606631025, -0.0008142517926601791, 0.001695116508774447, 0.0018242025684261183, 4.567855808787648, 6.554032241072069, 5.826930740627208]",1.0998871492573177e-21
16,"[0.003696821298133046, 0.002571449147491624, 0.0005149607533102376, -0.006208934865173836, 0.002715863481091379, 0.004971795031379332, 22.0972000396468, 16.283651251592744, 0.0]",0.0
17,"[0.004374367941306736, 0.003783029276598943, -0.003346283788298952, 0.005606284662435251, 0.0006323142938335108, -0.0028582473412234704, 24.0022789231494, 3.0409414435191344, 0.0]",0.0
18,"[-0.00321230739244413, -0.0013461662419368228, 0.0043496169189262135, 0.0004343145975667207, 0.009621003270926097, 0.0023129396232976604, 7.089294409613885, 8.284529286396557, 2.464216354475881]",1.2113717505364474e-301
19,"[-0.0008719891054671519, -0.002727208057905147, 0.0010189595362406307, 0.00042917641636393505, -0.0015055635070481811, -0.0016003669049923434, 6.223525374273391, 8.035064870511434, 0.0]",0.0051917555616245665
20,"[0.00013745680716387805, -0.0017114260935872352, 0.0004105725569828855, -0.000941121253753083, -0.0008585864793731276, -0.00018755327749109374, 6.7316511988974215, 5.947219166713373, 0.0]",0.2727665321841851
21,"[0.0017292243770574952, -0.001619032398157248, 0.0015706916800780446, -0.002217302824778178, -0.0012899752519378825, -5.584672107272788e-05, 5.286074577311351, 3.930542543634771, 0.0]",5.40229493533524e-10
22,"[-0.0016712071553064, -0.003054748055109853, 0.00027022857976890906, -0.00016241667885339353, -0.0010562905897449643, -0.0010443592134285569, 6.180174371032923, 5.604386855281871, 0.0]",0.005777220309186234
23,"[0.0005433232660376334, -0.0020770996303301824, 0.0016173767473912088, -0.003109888711152442, -0.0023995263068267952, 0.0004258929018217879, 7.770862240361665, 8.074104022545447, 0.0]",0.0
24,"[-0.0005770664923185077, -0.002311784810774065, -0.0012005344813430152, 0.0012255043837343543, 0.0009150745679517625, -0.0010182388906972359, 5.009421502876575, 1.1181601222404443, 0.0]",0.3052209930582174
25,"[-0.0011574350186939703, -0.002791995203383149, -0.0023714283827796995, 0.003025417950404191, 0.002475810802042459, -0.0018886305237491789, 2.8733032158493916, 0.0, 0.0]",0.05161068103700371
26,"[-0.0009166587499893251, -0.002656585857220862, -0.002000994627855669, 0.0024462704373727864, 0.0020024857255922838, -0.0015634204973316989, 3.700709946397917, 0.0, 0.0]",0.22084172873348906
27,"[-0.0006417885699301466, -0.0023284906001825533, -0.0022756767502299835, 0.002672730571721303, 0.0024341592196643214, -0.0014252080407478472, 3.236879859094466, 0.0, 0.0]",0.3285345925868436
28,"[0.00023974800793450475, -0.0017256741374622514, -0.0029322096820945612, 0.0024820591935070958, 0.002938853507013545, -0.0006627149289691896, 1.9624480845375607, 0.0, 0.0]",0.03602564940222109
29,"[-0.002207049405015722, -0.0036746664824981855, -0.0019981140408433778, 0.004279956336068421, 0.002333629623547541, -0.0030595859632423146, 4.257888098273297, 0.0, 0.0]",2.7269362998345356e-12
30,"[-7.397158222528072e-05, -0.0017703194474554755, -0.002634353139557207, 0.0010201036202975905, 0.0030084965708622835, -0.000892881578096587, 1.980787022023131, 0.0, 0.0]",0.16324032209400127
31,"[0.0009591598544226556, -0.0014362176792934056, -0.0018184693158272752, 0.0009797171838858264, 0.002317344766269318, -0.001611569117909074, 4.886831617195087, 0.0, 0.0]",1.4482235368634296e-10
32,"[-0.0028354715572645297, -0.002665937587421667, -0.003345700021366731, 0.001971858295270857, 0.0027593111659267146, -0.00024325437510368928, 0.0, 0.0, 0.0]",1.135164412501743e-33
33,"[0.0011342417891546228, -0.0038002460306651316, -0.00048591807224384004, 0.004054595574307578, 0.002059927506559872, -0.0015012778472557817, 3.1187936490603496, 0.0, 0.0]",4.394804322784413e-19
34,"[-0.001915661870437451, -0.000941844853253283, -0.004491673746769296, 0.0005532952216042683, 0.0017037347353343855, -0.002455398441267727, 4.333629569712518, 0.0, 0.0]",1.6428594370312463e-191
35,"[-7.160254759125623e-05, -0.004362509329854087, -0.00078951881343337, 0.0012625750590691339, 0.003893714060342321, 0.000514805284526406, 3.658708435006657, 0.0, 0.0]",5.792835809960839e-05
36,"[-0.0011632227020870031, -0.0004270950510020324, -0.0016477066400324967, 0.004167813704410225, -0.00116716173166941, -0.0019722890813606234, 1.95350449206221, 0.0, 0.0]",3.155772002405874e-20
37,"[-0.0005579440227695387, -0.00410692946272157, -0.0025400297592026205, -0.0008175152261548674, 0.003815978315781267, -0.0031595761825167355, 4.916534898806705, 0.0, 0.0]",5.9168912241339e-06
38,"[-0.0018140662205324398, -0.0017576483761176135, -0.001632641163430764, 0.003520015694180708, 0.0008840202477412068, 0.0015365742388946816, 6.263112703979518, 0.0, 0.0]",3.903401542527775e-13
39,"[0.0012830275733677003, -0.001027844754863033, -0.000644511841153209, 0.0003184627937088391, 0.0017311703564787462, -0.001981209236491053, 0.0, 0.0, 0.0]",3.3893550584230066e-05
40,"[-0.0023068516454753845, -0.005186857972455253, -0.002388009742834193, 0.0030258300410503773, 0.00010210331117528451, -0.0025383845906833237, 8.276304123120461, 0.0, 0.0]",9.385916172261884e-302
41,"[0.0001980324652917962, -0.000366821521603999, -0.0033884444227606668, -0.00034809190514899555, 0.0032711012838016525, 0.0011327747044301505, 1.2388692887626747, 0.0, 0.0]",0.00012043674314539923
42,"[-0.0005405934305180762, -0.003154475639915823, 0.002565951881922667, 0.003444616181115956, 0.0011787474267953458, -0.0029638436089777925, 2.5852620645067494, 0.0, 0.0]",4.059706139083496e-09
43,"[-0.0024540415711717433, -0.0020808282729054177, -0.003890986226304647, 0.0020707989514093875, 0.002275840354227688, -0.002474305277829254, 2.639861380145619, 7.5205248868565375, 0.0]",6.531658342738409e-07
44,"[0.0022521483379209705, -0.0023957157781332315, -0.001990725255802573, 0.0007454231969302241, 0.0006588716971449961, 0.0006522871520835972, 8.07214724261709, 0.0, 0.0]",0.0
45,"[-0.004281561993521764, -0.0028228091130303094, -0.0009537344918389125, -0.0017190824919419165, -9.46159701056415e-05, -0.0003546892571599725, 1.7283997717244735, 0.0, 0.0]",2.7618468978618245e-252
46,"[0.0012311276038701675, -0.0025623761962984674, -0.003653555090379954, 0.005933627392272769, 0.004716486840481399, -0.0011720130132768186, 3.4148508993199846, 0.0, 0.0]",2.837587659800581e-08
47,"[0.00033129444898711397, 9.96735661804697e-05, -0.002031471364437273, 0.000953972665160464, -0.0024277609980130114, -0.002285909451869002, 5.966096754653176, 0.0, 0.0]",3.318046881627991e-10
48,"[0.0002827075852800116, -0.005939169256518859, 0.0013390977041729567, -0.00040198837246118986, 0.00335071294896161, 0.0006502384907257546, 5.971859845824062, 0.0, 0.0]",6.591013913105753e-271
49,"[-0.0010836843613612698, -0.0015608996290662621, -0.0009556763550894059, 0.0021152709705776493, 0.0014881893916228355, -0.0021303943405823382, 0.0, 8.362984333841421, 0.0]",5.039492458977771e-37
50,"[-0.0030149023713266047, -0.0007393225136518309, -0.003361929011398092, 0.0010677336727471685, 0.0023074380996870496, 0.00018021457492580138, 9.447694283341047, 0.0, 0.0]",0.0
51,"[0.0025351922107570072, -0.004806885319110812, -0.002633449165885451, 0.0018664151117549748, -0.001314219028194753, -0.0025645707120334586, 0.19884868714573264, 0.0, 0.0]",2.891360283594191e-24
52,"[-0.0007350733299161085, -0.0001885035514716634, 0.0007397060830540515, 0.0008913721264940468, 0.003773862470160449, -0.004040686295132747, 6.102923024622959, 0.0, 0.0]",4.1661171344689634e-37
53,"[-0.0011211901507165451, -0.0016700370972116889, -7.789272551555801e-05, 0.0037032834053002182, -4.8627828090507116e-05, 0.0036601239856941404, 3.540750676991146, 0.0, 0.0]",2.7997893419018348e-43
54,"[0.0002579987263330803, -0.002742016191604867, -0.0037684867442564426, -0.0034110264323876462, 0.0030996174329781497, -0.0009446858333098378, 4.6432359999521875, 5.354654363855401, 0.0]",5.410910616365465e-84
55,"[-0.0016118350153771226, -0.004084833749119394, 0.00033342718529735604, 0.003632482956383874, -0.0014904043456825577, -0.0019214826519334293, 8.156806537886586, 7.238436066326524, 0.0]",0.005749624526619061
56,"[-0.0016430106236212576, -5.300395472726632e-05, -0.004958057452655436, 0.004129312010745792, 0.004572486570995992, -0.0015591073719598268, 0.0, 0.0, 0.0]",4.571758021451427e-60
57,"[0.002191622011853535, -9.836956669959341e-05, 0.0007636074594599507, -0.0009991326652586754, -0.0008179682434879872, 0.0005570762580925115, 5.946343001695982, 0.0, 0.0]",0.0
58,"[-0.000864956271133974, -0.007477888110710683, -0.004159861154673943, 0.00193655343938644, 0.003188593231103651, -0.002366663560321784, 7.336166223658008, 0.0, 0.0]",1.4038770564861284e-86
59,"[-0.001114458455204345, 0.00026615392434862464, -0.0006654136661990942, 0.0001670637696266539, -0.0014904598298050107, -0.0007260503187468932, 2.8931297907105997, 7.309105221601164, 0.0]",1.0053743349328623e-142
60,"[0.001809481772640483, -0.0024891466160196505, 0.0009173508753845995, 0.0020279906856049447, 0.004618846748482606, 0.0005198122417209803, 0.0, 0.0, 0.0]",1.0105100232426381e-92
61,"[-0.0032537573318686323, -0.001302687175686875, -0.002453689232368499, 0.0007735637113561684, -0.0017357984245040881, -0.0020070465342707016, 9.64549438246984, 0.0, 0.0]",0.0
62,"[0.0012219086617316327, -0.0037149192824761632, 0.000669446050057859, 0.0009185197705322435, 0.002251284275198632, -0.0013485293210655407, 7.832407256940844, 8.082381052843346, 0.0]",0.0425085336498411
63,"[0.00018780858778938113, -0.0041388337394945756, 8.414612607561684e-05, 0.0008313275029296868, 0.0020426237638982965, 0.0006212333868494994, 5.952762341262497, 9.754885733985232, 0.0]",1.703999993608439e-07
64,"[-0.00036153582473216354, -0.0009990101806323477, -0.0019985834792459146, 0.0029966152593859006, 0.002400759290369604, -0.006355425396034271, 2.5372221095172707, 0.0, 0.0]",0.10508663499956902
65,"[-0.0007263379164999501, -0.0010873012026197256, -0.002132275176543624, 0.003503654971936104, 0.0027403830193410703, -0.009121798845391762, 1.7031471637001443, 0.0, 0.0]",0.008317390170427678
66,"[0.0007907912858305088, -0.000728740174457496, -0.0023268903615841986, 0.0031897178748680225, 0.0018939756342681133, -0.006597345264702632, 4.074916733557332, 0.0, 0.0]",2.5592582440079968e-06
67,"[-0.004297395702643046, -0.001678570992684827, -4.315130165103825e-05, 0.0016566016057041621, 0.0034045489952211905, -0.003886346781412024, 0.0, 0.0, 0.0]",4.2031546296759157e-07
