,train_x,train_y
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.8, 7.5, 0.0]",0.20796966989199944
1,"[-0.0027636550237319342, 0.0028813652098901277, -0.0003743383374042798, -0.0015160093397463446, -0.000391495314145121, 0.0038808616389106876, 5.1937053274388605, 3.039293949369423, 7.8085047651412935]",0.0
2,"[-0.006395583284932932, -0.000925899746328107, -0.0009413983065664483, 0.008600001447879105, 0.002596810735208656, -0.008973783778955005, 0.8073549432905525, 3.8903212453711262, 5.35585524817129]",2.869385761087908e-268
3,"[-0.00088464685846082, -0.0038056647377250415, -0.002726900448506755, -0.0010441533049249082, 0.0007123324212447659, -0.0018614983584849761, 1.2222400523998855, 9.429525754214822, 4.757315585657166]",4.381387792654097e-52
4,"[0.001714904048118768, -0.004135320369158124, 0.0012156079679247955, 0.006237170726892047, 0.008271561054870997, -0.004344131250820527, 11.113561247545608, 5.766367085177452, 11.320867279201174]",0.0
5,"[0.00016746320763490384, 0.00025715534010408635, 0.0029940027527961856, 0.0035489827935473563, 0.002367001226427706, 0.001606600664778393, 10.847285868689882, 19.948498884784925, 6.782127264452218]",1.9398261319618186e-140
6,"[0.008487042474365564, -0.0031639004657392058, -0.0024659631461527746, -0.0007864204690751576, -0.0013159343716615932, 0.003960294849261002, 9.568187844410263, 16.118821118662602, 0.0]",0.0
7,"[0.0017686433973159164, 0.007551659486729822, 0.0007378598758457806, -0.004219727540907861, 0.01094996720296326, -0.004732483806999572, 14.957798292004782, 8.092862814181464, 0.0]",0.0
8,"[0.005120845535510877, -0.0010653150727033193, -0.002274659358673958, -0.006597793078750178, -0.006273919638839323, -0.0024931567372848923, 1.513586370480172, 5.2251597524457125, 1.4819917353056606]",2.9349938251345014e-177
9,"[0.0013327745876913833, 0.0008074298880410088, 0.00044523803635698354, -0.006007071894724492, -0.007342683874560837, -0.00296064106675874, 14.220015394035542, 13.425672420053829, 0.0]",0.0
10,"[-0.0016624432927974555, 0.0017012909590168347, -0.003971360177948342, 0.002978861322641888, -0.001400736805133201, 0.00026180008028804457, 17.845337589359403, 5.194876575242128, 0.0]",0.0
11,"[-0.0032080272982532593, -0.00731403851326084, 0.00044408253891910335, 0.0015646713162569073, -0.00029899608849513634, 0.007360799885775174, 7.262103127738798, 10.081797427172594, 5.086933675370467]",3.1068349758669532e-58
12,"[-0.002028359664523486, 0.0009585746460209744, 0.005490186164507895, 0.0032331262095196826, -0.0027068182884445883, 0.00044915914888420214, 0.8699375321886231, 0.6848475895795989, 2.259552257018977]",4.024726891051372e-27
13,"[0.001029560658728873, -0.0004823298436494179, 0.0026405640118631075, -0.004097215898594145, 0.006309980706813351, -0.0022122228166621028, 4.772479294307469, 5.352706897230677, 4.579589433821784]",0.0
14,"[-0.004463076115331496, -0.0013704726910488067, 0.007431317794797521, 0.005968663336785445, -0.0006686500563872823, -0.0031039224343940757, 10.114374875260202, 7.004064065160381, 2.8092769952397414]",0.1345750916018873
15,"[0.0009325428728725372, 0.004325767851502651, 0.000971070475542557, -0.0010051738506655114, 0.006597853083633501, 0.0013874278109209605, 8.372407018917416, 16.76593510227946, 3.36579268027527]",2.738718557435612e-61
16,"[0.0027445191250931363, -0.005749906839123439, 0.001788648869342123, -0.0059214721635845406, -7.166294225027737e-05, 0.00044196292829089674, 15.743979261087134, 6.728042360503332, 0.14947293602101963]",0.0
17,"[-0.0004485494011941401, -0.006334624771211165, 0.0011441701281260292, -0.0034273687276143027, -0.0020008757517956857, -0.0009697072761744342, 7.0048204673328325, 19.17412783828606, 0.0]",0.0
18,"[0.006297417422443082, -0.0007617663089830387, -0.004787174851968664, 0.0008237956651978499, 0.006496835455723625, 0.002500093921862983, 0.0, 13.24901000684791, 12.870766885803109]",0.0
19,"[0.0015124173520180426, 0.0008279540573149945, 0.0022341031058358296, 0.0021826878461522767, 0.003586571863178563, 0.003691755619870298, 13.471173229335474, 1.9842356417397813, 7.736357139727303]",0.0
20,"[0.01985484582768563, 0.01398173566698349, -0.0026274166242521543, -0.0149678899162945, -0.013905478131523544, 0.006171551005437409, 0.2350204972102466, 35.94777901397885, 26.230581785676897]",0.0
21,"[0.009998845509693273, 0.007937479817986388, -0.02, 0.003671777740699989, 0.012682982428809931, -0.019688867408304583, 3.0237649662706905, 16.264092272452743, 8.649132188329125]",0.0
22,"[-0.013567836885650896, 0.016117402079587118, -0.007907838085211949, -0.007677315565211624, 0.0031468827385907976, -0.0004324725755673876, 0.5428889689708679, 46.49702609898241, 32.495063951879224]",0.0
23,"[-0.0065802273806424205, 0.011508061355818607, 0.02, -0.014130932450504695, -0.014128772776932254, 0.008947825260634971, 1.0331605193778488, 28.41850004417176, 23.50538115925618]",0.0
24,"[-0.006445625246992383, 0.018554263395078086, 0.0078017781136033295, 0.00785052098884033, -0.009488614430558562, -0.011189166314924202, 0.35734671788053884, 24.561859181657017, 18.273682993637433]",0.0
25,"[-0.001544125544408351, 0.0007778617080015294, -0.005382912383218404, 0.007050568777843871, -0.002501028608717414, -0.0027932427060456204, 8.339851835183307, 0.0, 0.0]",0.0
26,"[0.0016080449699600646, 0.002975145953975427, 0.006607485327906869, 0.005600030335446413, 0.00014051940218989, 0.003025426672171751, 7.374667947362857, 9.396731137382341, 0.0]",0.0
27,"[-0.009073194626834043, 0.013521483693877338, -0.02, -0.01992961807187468, 0.017324109536374862, 0.02, 1.4105328251029932, 30.27620074170897, 23.43936720201301]",0.0
28,"[-0.01982790574017507, 0.012324989810345325, -0.02, -0.0018104013072709933, -0.0021907112117985493, -0.01807608768916309, 0.21404194718326816, 53.333158449814654, 45.50251436979473]",0.0
29,"[-0.018703166249793148, -0.0025090775007388295, 0.009331950113952056, 0.001072696411973646, 0.0012338941577543293, -0.007717334449677946, 12.11942887544268, 3.896990459605743, 0.0]",0.0
30,"[0.0071610931967770325, 0.008583905644551394, -0.02, 0.00010274458061483925, -0.0070490163477433185, -0.02, 1.1236328079246665, 29.666414689749185, 26.70316025273572]",0.0
31,"[0.02, -0.02, 0.02, 0.02, 0.02, 0.02, 60.0, 60.0, 60.0]",0.0
32,"[-0.004199779935030241, 0.011181924775772236, -0.004733351105886843, -0.00845161712368504, 0.008302384989845936, 0.01645689899385192, 2.021189737180755, 8.377454219444536, 1.2829155456073709]",0.0
33,"[-0.02, -0.02, 0.02, 0.02, -0.02, -0.02, 60.0, 60.0, 0.0]",0.0
34,"[-0.006246103414328819, -0.011690543152524798, 0.02, 0.02, -0.007289552379280856, -0.016765260451062823, 9.548926297008402, 12.939063517598036, 0.0]",0.0
35,"[-0.02, -0.02, 0.02, -0.02, 0.02, -0.02, 60.0, 60.0, 60.0]",0.0
36,"[-0.02, -0.02, 0.02, 0.02, 0.02, -0.02, 60.0, 8.618386660541137, 60.0]",0.0
37,"[0.02, -0.02, -0.02, -0.02, -0.02, 0.02, 60.0, 60.0, 42.76102048997286]",0.0
38,"[-0.02, -0.02, -0.02, -0.02, 0.02, 0.02, 60.0, 0.0, 60.0]",0.0
39,"[0.002271641840189891, 0.003958983673772982, -0.02, -0.02, 0.012790595171779152, -0.008079105337785157, 0.7589057543442269, 23.447728053810835, 20.026341424651203]",0.0
40,"[-0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 60.0, 47.76480478386212, 55.87481777360243]",0.0
41,"[0.02, -0.02, 0.02, -0.02, -0.02, -0.02, 60.0, 0.0, 57.56093812201168]",0.0
42,"[0.02, 0.02, 0.02, 0.02, 0.02, -0.02, 60.0, 0.0, 60.0]",0.0
43,"[0.02, -0.02, -0.02, 0.02, -0.02, 0.02, 60.0, 0.0, 60.0]",0.0
44,"[-0.02, 0.02, 0.02, -0.02, 0.02, -0.02, 60.0, 5.277453840103367, 0.21097683228487069]",0.0
