,train_x,train_y
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.8, 7.5, 0.0]",0.20796966989199944
1,"[-0.0013047504574137268, 0.0035437551719599693, 0.0033137524723328747, -0.0037584199524211092, -0.005480276544242109, 0.0022807091231236607, 4.420481806323811, 12.042031375128154, 4.15108669990675]",0.0
2,"[-0.004906342076150556, 0.008586347801424721, -0.004143054897535358, -0.003123276670027737, 0.007752670642885532, -9.843597663135297e-05, 5.88278800724826, 0.0, 0.0]",0.0
3,"[0.0010451016399623818, -0.0037571928201635863, -0.0014912419274922548, -0.008375408261603278, 0.0016574543981975412, -0.007375850160621985, 9.056376329880992, 11.931525647777569, 0.0]",0.0
4,"[-0.005509287753861683, 0.0024301357382619042, -0.0033812768889509553, -0.0023605090265660677, 0.002244742459059817, 0.0004954797689361058, 9.347340563722689, 7.350625512330349, 0.0]",2.2612715801849838e-182
5,"[0.0019528957376099617, -0.002812975358112391, 0.006043867713751294, -0.0015723431516128771, -0.0005767205411863104, -0.0009493328676655786, 19.566040083486858, 15.390802273533517, 0.6056128442204227]",0.0
6,"[-0.0043125515526658475, -0.0023699074239173774, 0.008505681694085455, -0.004482220308842615, 0.003827990225564618, -0.000944264679923125, 1.1579972263314184, 0.0, 0.0]",5.570752675474218e-103
7,"[-0.001194477233092738, -0.00212011655565926, 0.006790839814204289, -0.0006164784718230724, -0.0040076421311396986, -0.001605548352944055, 12.346624312518495, 7.694932173750746, 0.0]",1.132688820221726e-06
8,"[-0.003231651939864015, 0.004154871340743775, -0.0037660632015493667, -2.7573532152979318e-05, -0.0009623067574725116, -0.003700572698507925, 3.288531608274722, 0.0, 0.0]",0.0
9,"[0.008929694251561038, 0.001115570987430899, -0.000283412619965351, 0.0066846758280138035, -0.00031857328239927774, -0.0014299799288830135, 11.586113763722011, 6.9970176749139394, 6.861853009738849]",0.0
