,0
0,1.953125e-11
1,1.4648437500000002e-11
2,4.8828125e-12
3,4.8828125e-12
4,4.8828125e-12
5,4.8828125e-12
6,0.0
7,0.0
8,0.0
9,1.26953125e-10
10,1.4648437500000002e-11
11,4.8828125e-12
12,9.765625e-12
13,9.765625e-12
14,9.765625e-12
15,9.765625e-12
16,9.765625e-12
17,9.765625e-12
18,0.0
19,4.8828125e-12
20,4.8828125e-12
21,0.0
22,9.765625e-12
23,1.4648437500000002e-11
24,4.8828125e-12
25,9.765625e-12
26,0.0
27,0.0
28,1.07421875e-10
29,7.324218750000001e-11
30,1.2207031250000002e-10
31,1.904296875e-10
32,2.8320312500000003e-10
33,3.076171875e-10
34,4.931640625e-10
35,1.1718750000000002e-10
36,3.61328125e-10
37,2.9296875000000004e-10
38,2.3437500000000003e-10
39,3.564453125e-10
40,2.099609375e-10
41,3.4667968750000004e-10
42,2.8320312500000003e-10
43,4.3945312500000003e-10
44,2.490234375e-10
45,4.3457031250000003e-10
46,1.1230468750000001e-10
47,3.80859375e-10
48,3.61328125e-10
49,3.22265625e-10
50,3.4667968750000004e-10
51,3.22265625e-10
52,3.3203125000000003e-10
53,2.8320312500000003e-10
54,3.173828125e-10
55,2.3925781250000004e-10
56,9.130859375e-10
57,5.46875e-10
58,6.396484375000001e-10
59,6.835937500000001e-10
60,7.470703125000001e-10
61,1.201171875e-09
62,1.318359375e-09
63,1.2353515625000002e-09
64,1.2597656250000001e-09
65,9.27734375e-10
66,1.0302734375e-09
67,7.51953125e-10
68,5.419921875000001e-10
69,1.07421875e-09
70,1.1523437500000001e-09
71,1.09375e-09
72,8.935546875e-10
73,7.568359375000001e-10
74,8.740234375e-10
75,1.2353515625000002e-09
76,1.1718750000000002e-09
77,1.181640625e-09
78,1.2548828125e-09
79,1.1914062500000002e-09
80,9.27734375e-10
81,1.201171875e-09
82,1.3623046875e-09
83,8.691406250000001e-10
84,7.51953125e-10
85,1.2597656250000001e-09
86,1.4013671875e-09
87,8.642578125000001e-10
88,1.4111328125000001e-09
89,5.664062500000001e-10
90,1.42578125e-09
91,1.3525390625e-09
92,1.4013671875e-09
93,1.3134765625e-09
94,1.2402343750000001e-09
95,1.3671875000000001e-09
96,1.4501953125000002e-09
97,1.4306640625000002e-09
98,1.4501953125000002e-09
