,train_x,train_y
0,"[34.90750304727505, 34.42379893528517, -2.704298520184004, 25.57748925233415, 47.599655275004544, 25.54056593931812, 27.013676973858928, 36.48984079689551, 30.08029015351595, 29.799457507497866, 1.09444581466502, 32.612686689283315, 0.5554548714114412, 23.379958521051037]",24.414062500000004
1,"[24.98777403872821, 36.279920876751945, 8.231574325609028, 36.6241634601397, 31.064703697183088, 33.58097533276542, -33.25256820346062, 19.81167944949857, 30.533500292871206, 41.266858862972775, 0.05622127508017927, 35.07347062404881, -0.4077241467899056, 15.084347171364191]",9.765625
2,"[40.24964561984689, 13.82467036132541, 21.696230246008934, 41.25586817777388, 37.59340222248978, 40.70484253975168, 9.374665618825356, 1.3169606352647898, 19.002913445516853, 34.574109871797646, -0.07294064604778511, 30.170759060282858, 0.044781089356890104, 24.869187032468417]",9.765625
3,"[41.30985606843589, 30.56589786231657, 16.792188174893564, 48.015126279698464, 27.98061807429284, 36.60578019461801, 13.25144005038715, 3.4786628604518786, 25.023807277344382, 29.57179849716168, 1.409383831073974, 31.456721863221464, 0.4162077452997753, 29.971236631208587]",0.0
4,"[29.110283948328178, 35.528933224344655, 3.9698702756150572, -1.44695627840861, 25.095776387429467, 35.67115191665524, 26.40824807326335, -42.97889039375928, 33.97513040506672, 30.320355470002205, 0.5692305326805891, 39.974267165176926, -0.27330750237462187, 40.87985495865795]",0.0
5,"[31.076605431500372, 34.62720016056786, 24.628508549472325, -22.450004660114736, 21.99289367572944, 26.19333745894187, 4.56188010243314, 39.926880474101516, 39.37139976370342, 30.660014287172444, 1.1804235425173666, 32.72482410833256, -0.6102712027982783, 9.558205600786021]",0.0
6,"[39.01822568006041, 31.820247315953186, 33.27871589401344, 36.54602423228595, 30.126830051039075, 29.666220842452216, 19.275353546625464, -43.26654163273214, 28.51829748965622, 22.29789651089088, -0.591389716667313, 26.819791653080202, 0.0006079507038499023, 31.88989982134902]",4.8828125
7,"[18.98873826040787, 24.04809480595277, 17.72301203736332, -14.023176151424106, 28.380758141255157, 32.45694937906805, -21.0998747821009, -8.082897503459423, 35.4982751744635, 32.583035354071825, 1.2248702198849724, 22.78596134787133, -0.49974489326894295, 39.522438460715016]",4.8828125
8,"[26.024652942993743, 31.43822589702962, 5.698626136278804, -2.4808972830281903, 26.163809804536918, 31.21608021945643, 9.432958116139371, 9.077464450315066, 41.94305831804217, 35.00941586352902, 0.25951660140801835, 31.487995059335056, -0.8659298562749668, 36.28108827519548]",9.765625
9,"[19.882873660486318, 30.967219968883235, -30.430409460462894, -20.500000458592893, 34.93187832872857, 28.214217008701453, 26.343900439919977, -23.9170410850289, 32.910663088718806, 36.85408643987796, 0.3338830175606219, 25.493477267381465, -0.6119801361349357, 28.050050462482922]",4.8828125
10,"[26.553072844547366, 28.09623670199305, -24.016459232389344, -18.054939770136418, 34.82536185945234, 28.770864920655622, -28.04953751917918, -2.404910689429976, 33.10555215881655, 32.54832722176244, 0.07515416158429748, 35.72283748065673, 0.0861782723652964, 30.552612247183447]",9.765625
11,"[30.659069412880008, 26.595656715834124, -5.330469096503286, 41.42458216865063, 37.5793933914169, 36.08302090461158, 18.567215548201926, -32.305999839169615, 25.34614804073818, 31.58800166178832, 0.933104127735974, 32.137405203773184, -0.0011660192624438363, 43.887338211269125]",0.0
12,"[29.540317460325753, 26.332156615195466, -17.290893770767294, 11.258057022241765, 31.89854973953863, 32.8487236850833, 9.068118527777973, 20.839557462234044, 28.392887844157137, 28.724898588836872, -0.2736573690983817, 25.255433606040377, -0.7146406332552856, 24.285706079919525]",4.8828125
13,"[22.689215103493716, 36.86656701028289, 12.156594867143298, 13.848981418968762, 20.628482739278567, 25.740246933059623, 24.675665460036427, 23.499011304223636, 33.624115791751926, 34.93502452392456, -0.5021103019905107, 32.00253305175868, 0.18658910543473792, 32.250211518677666]",4.8828125
14,"[36.1713135160706, 20.437576929746555, 22.852068533862898, 8.750222119211026, 21.711868495612098, 27.10560991087201, 17.647374451735132, 14.685658537751054, 23.792509822401726, 19.59945723180677, -0.4843207065742482, 19.1044127852972, 0.2192222713504356, 29.52904300943097]",14.648437500000002
