,0
0,1.46484375e-11
1,6.1083984375e-09
2,1.46484375e-11
3,1.08544921875e-08
4,2.0068359375e-09
5,1.0546875e-09
6,3.22265625e-10
7,6.2255859375e-09
8,1.60693359375e-08
9,1.2744140625e-09
10,6.591796875e-09
11,1.01513671875e-08
12,2.197265625e-10
13,1.6508789062499998e-08
14,1.083984375e-08
15,1.83837890625e-08
16,8.056640625e-09
17,6.2109375e-09
18,1.58935546875e-08
19,1.80908203125e-08
20,1.6259765625e-08
21,1.65673828125e-08
22,1.89111328125e-08
23,1.8662109374999998e-08
24,1.39453125e-08
25,1.974609375e-08
26,1.96435546875e-08
27,1.98193359375e-08
28,1.91748046875e-08
29,1.9189453125e-08
30,1.93359375e-08
31,1.93359375e-08
32,1.828125e-08
33,1.9482421875e-08
34,1.951171875e-08
35,8.49609375e-09
36,1.94970703125e-08
