,train_x,train_y
0,"[-32.468172619620155, -11.079201292766596, 19.550264917290246, -7.011322127842586, -0.5434357852828489, 0.39624073635738516]",307.6171875
1,"[23.18774086492283, -4.52676668900687, 9.751226468520402, -21.19085929168012, 0.7275754523035822, -1.0773750701403124]",3808.59375
2,"[17.15093795413309, 3.9178724813512815, -1.6888016735173021, 8.610772082547237, 0.931028219131829, -0.17731588350968552]",263.671875
3,"[-6.282220752998794, -5.638325822978145, 15.328561255927047, 43.01808550280035, -0.09571298420904352, 0.4507069578876364]",14.648437499999998
4,"[2.6209188968307124, 8.243407417262244, -25.948762422841035, -41.181238391864255, 0.24330417246209696, -0.7201269755483274]",5903.3203125
5,"[-3.524998501532031, -2.644993431554177, -21.095936466381392, -24.799460110181734, 0.6513248190689405, 0.3581851242120324]",249.0234375
6,"[3.8176207595283844, -7.341048851092372, -1.6603971553889574, 13.26683924798791, 1.1046117658004835, -0.26967009755840055]",190.4296875
7,"[7.576400120972907, 10.016024033143022, -8.890221652779475, -40.2608390042187, 0.017277938239814744, -0.38016641515474875]",5947.265625
8,"[37.74482537584954, 5.914221717226134, -1.969852266529918, -17.889891207576994, -0.39073056480358864, 0.6999684066414782]",14.648437499999998
9,"[-41.45261784731638, -36.28231474432174, -34.204588983725266, 1.190941410536629, -0.337234994795374, 0.6490303998152259]",14.648437499999998
10,"[10.913847185713033, 32.10148626531145, 29.874347259475265, 17.448237899824516, -0.883744319887047, 1.1298131135787446]",0.0
11,"[16.038189814852867, 6.4254545909187275, -4.227145531758807, 27.91807127095837, -0.12651908806765763, 1.1165963119896543]",14.648437499999998
12,"[-36.578636473149196, -0.9388739681671476, 40.04827336363139, 9.832267462987424, -0.5527314430382498, -0.6785905926754477]",8994.140625
13,"[-33.416384591269825, 9.969292036531048, 31.429876055627105, -14.301907990767045, -0.8454656382380029, -0.9112333299657304]",15659.179687500002
14,"[-38.41011807135081, 20.935201234834878, 33.20000798943155, -28.690496118678418, -1.2336967870945985, -1.271073833920497]",5493.1640625
15,"[-36.442652022744106, 13.335003317993834, 32.73728094121689, -25.24231451441885, -1.0798753747369993, -0.8263150055490656]",14384.765625
16,"[-33.482589426117876, 3.414468170964694, 18.583884528030048, -6.886966883602693, -1.1459652780736171, -0.9106168014161531]",18867.1875
17,"[-30.555581797428403, -0.6065440817059645, 7.051320406698844, -2.1177889660360685, -1.4176297335097556, -0.8981023353128509]",17109.375
18,"[-51.15430116770647, 1.1160422465324187, 12.754192204766229, -5.612770691965051, -1.0059931599369583, -0.9053472598909795]",16977.5390625
19,"[-22.919426814998197, -10.245018935456757, 16.208653313890277, -12.60179506265854, -1.2452021014725083, -0.8442787270063797]",14765.625
20,"[-34.19296497362732, 10.007278036310412, 21.042997665138483, 7.9984398539907735, -1.3742297672022814, -0.9266833026896062]",17373.046875
21,"[-31.74589082012828, 18.54184185697841, 0.8990945435007655, -1.2988040768990692, -1.1363410730484338, -0.9150340403208279]",18647.4609375
22,"[-39.49875543181924, 22.344575292350402, -0.003464457167546456, -7.677829606107257, -1.2893367571424255, -0.935805757422335]",18339.84375
23,"[-31.538638828851337, 12.32427061851897, -1.9552108816238718, 3.517107805174442, -1.09299109455879, -0.9637076974771707]",18574.21875
24,"[-39.040078546896055, 21.90467986513472, -3.899888850176866, 11.788417303619587, -1.1147453552640194, -0.9152199319823515]",19189.453125
25,"[-40.58796790691271, 16.308377619174564, -10.188715892018905, 21.038603575043535, -1.142515847122112, -0.9280748494791712]",17255.859375
26,"[-37.31950308212551, 33.20027813636448, 9.271926853456607, 2.4908025090872177, -1.0918954883533691, -0.9170818173340837]",16259.765625000002
27,"[-35.4353613030433, 11.322494882886414, -2.805969855750939, 1.1318253728119645, -1.1333640822159778, -0.8867009108575423]",19335.9375
28,"[-43.14767625902971, 11.892027081895536, -9.222120437945248, 0.3287240441074236, -1.167766975709831, -0.8857699761873157]",19160.15625
29,"[-29.494266566335657, 18.72423532700195, -22.82382136173216, -2.6170702415248566, -1.1984819779194356, -0.8731207185373958]",18398.4375
30,"[-41.783031286411884, 13.696162157377287, -7.111719655230728, -4.3622305684200535, -1.1022052172280037, -0.9083070050205503]",19702.1484375
31,"[-43.92508963439673, 9.774262355097937, -27.731633067320622, -5.339838121378127, -1.0809868104288385, -0.944311463960384]",18603.515625
32,"[-48.33070196598792, 13.812751615418716, -16.195589815994133, -2.13804015540225, -1.3312160762341008, -0.9038690240791688]",19277.34375
33,"[-48.494209957086355, 16.38287730875888, -13.701098825670277, -0.5133696575491377, -1.11979670368155, -0.8958562177120515]",19526.3671875
34,"[-47.88983396795384, 17.392032940668944, -10.920925745288338, -0.5512667026375078, -1.1521077964953332, -0.9122593334499651]",19379.8828125
35,"['MEBT:YCB7A:CUR', 'MEBT:YCB7B:CUR', 'MEBT:XCB9:CUR', 'MEBT:YCB9:CUR', 'MEBT:YCB11:CUR', 'MEBT:XCB12:CUR']",19379.8828125
