,train_x,train_y
0,"[25.77746316194023, 28.292129740686615, -23.288544088922755, 5.2811877819128465, 26.83721677149853, 37.632308497302745, -20.15410267956364, 5.092620532831357, 26.21572542727538, 30.30292399216489, 0.0037690791157379677, 29.992912922703216, 0.18913315267626699, 34.932941223809955]",73.24218750000001
1,"[32.3681995922821, 30.162063690301498, 1.716943004097521, 26.085498028905604, 19.01286498124621, 29.092393938377295, 9.548039767355975, -14.11668461088287, 41.99313360333373, 33.61915881136147, 0.35575873323169144, 42.398407914520405, -0.883118334247294, 36.73839272936545]",78.125
2,"[20.566232516912628, 27.88803398915222, 47.64743490130496, -32.55705173035271, 27.452733670436, 25.20408986735764, -10.545059940669475, 18.520767129609425, 29.943826219278186, 28.643667440721458, -0.2575144236533383, 29.90984487350828, 0.9563113577878359, 28.740483898942077]",9.765625
3,"[30.920380958183237, 24.896883109792874, -19.659097238196864, -8.419699288062294, 37.65216299945435, 24.37497873829462, -31.56375015414889, 9.529287685755726, 28.257379950217477, 22.91133257298321, -0.1504387361751623, 28.81448758882748, 1.586947144417375, 28.597111284169966]",4.8828125
4,"[28.58525764143302, 31.696288001468265, 7.52782198807659, -12.646365777841398, 22.157913437397426, 37.77277172242575, -22.83186050910697, -11.839373110472422, 28.985166552181724, 38.72139151472883, -0.10463180294073023, 27.55498261766006, 0.5755132464668964, 28.925909848000494]",0.0
5,"[31.117776243743574, 30.645047898299087, -16.062714012660624, -26.582628353340475, 25.164150027024775, 27.768260742110765, 7.531993248668365, 51.1741230399928, 25.63859692935759, 37.51058427628985, 0.42502404985197734, 30.44981443144025, 0.45276799276844976, 39.19820156843122]",14.648437500000002
6,"[35.617775453077726, 25.88439787512759, -0.8562891063520083, -37.27593246980162, 28.46783488074599, 32.16760141398768, -17.38200292284659, -22.347465289392602, 26.918065170923256, 43.154987158321404, -0.16634272416396484, 27.796203862003892, 0.21339566404124274, 34.67639803306089]",0.0
7,"[39.64449266919286, 22.419450780944516, 31.761005825627958, 3.8710876540646018, 22.877454985056303, 36.80819045130757, 32.199825895854374, -11.206839192748234, 23.07803707158444, 27.019519006272958, 0.15568305074628036, 30.48382982462637, -0.5119604586228819, 36.71121644467508]",0.0
8,"[39.8790976451525, 32.674645330118665, 32.76325233425661, -0.7343517826683116, 31.992424890791455, 17.165097264451788, -25.360885736035087, 19.071800824631183, 33.8799608204256, 23.010823634334013, 0.02452921437641964, 38.40603731428999, 0.5595106211428679, 28.636276535570794]",4.8828125
9,"[35.108815970353426, 30.046611666620137, -18.159489432980575, 11.009401784200072, 19.76864184718555, 25.075481956776237, 1.2601040069752953, -0.8501313678687472, 35.90361922939784, 17.685775780271562, 0.6358444571470756, 24.82836955101537, -1.2434884322110733, 37.66718051801357]",4.8828125
10,"[35.18643980974812, 28.118977395354676, -17.239440903231834, -11.705858204020567, 34.40879969926179, 30.078902819147103, -0.9014503710552413, 49.41518133633569, 31.325887415609756, 25.834092321369223, 0.3376963917982206, 27.0234640639403, -0.3492248210553937, 34.63514954258495]",4.8828125
11,"[20.500444225832943, 25.938118344408103, -10.279052815951022, -7.891159839027361, 28.482544310252536, 39.717179855498074, -0.4421185730488208, -47.35688073636516, 37.174863791313975, 28.466144808359513, -0.9958529290228302, 32.497474679760124, -1.0815922700052627, 35.18627778491715]",9.765625
12,"[33.708402331588445, 22.43425415892765, 21.648677870668948, -6.215407355577818, 32.17944831235961, 32.779939556530934, -4.661698370686342, -5.050970932428722, 39.051500033941274, 23.553197219154487, 0.690620955985645, 38.72141168077155, -0.713108970415795, 37.575616182057175]",9.765625
13,"[38.37067965353944, 33.399897832621086, 20.31223508465656, -4.493680169697949, 38.86399207975374, 29.293739721003124, -2.9228574390193303, -37.84876005206905, 35.284555821135584, 33.981284366713126, -0.27326842958872366, 30.022456202981537, 0.4714062011083893, 32.06188666462546]",4.8828125
14,"[30.446342988113518, 23.12678168026865, 17.543407672979214, 16.68250998115355, 23.869143787704452, 24.12090363729732, -12.130751951213412, -3.2937325682918184, 24.49271901233599, 27.891129682047563, 1.1869870050379185, 33.39381594225847, 0.9503643839680045, 27.673679672752222]",9.765625
15,"[33.74764905089879, 26.523616795345593, -16.878060861562584, -6.0154383263408215, 36.55719295810259, 30.090700197071328, -7.663414766339077, -17.18483707420846, 22.045582391218776, 32.33182163666933, 0.2038716128646037, 30.619394299210697, -0.9516664709462891, 28.823308023584037]",9.765625
16,"[30.821531047331508, 31.45208876753426, -14.23414592654811, -12.47097671909209, 25.83980793106662, 32.944560325725085, -6.071665335279387, -1.802811037051909, 27.716678360680095, 36.73888705038344, -0.07333114632040433, 36.44501693710623, 0.09423396884762136, 31.118280048756557]",102.5390625
17,"[32.299641055843885, 34.740818545730484, -42.71780020824935, -1.6529644851737668, 29.450872889621355, 40.917495635205434, 30.45364151834741, 34.588331335926426, 37.899457802805316, 22.02045930413875, 0.3390256178554839, 24.348903675424374, -0.3854329347581342, 35.601550335425706]",0.0
18,"[25.714127602426615, 20.673389907361532, 7.616973677194005, -11.564233278760765, 24.154504473891336, 27.964820259323027, 1.4207705362220724, -1.0881558556377022, 24.492298183051847, 43.20072949467925, -0.47803494475695496, 24.669280120761094, 0.3502640566067504, 20.144105576762506]",4.8828125
19,"[43.14806804881637, 33.07080631105854, 21.333221350072943, -32.21342948209983, 34.24136537582837, 24.899198498287067, 31.522992857483928, 29.750122363750254, 29.933140421916274, 15.407026947869493, 0.6370353464091519, 36.04631761995543, -1.2072820070137504, 38.303510533539225]",0.0
20,"[38.88855842855793, 32.4592423873733, 12.571753324035013, 32.212628391962504, 31.2398230625243, 38.23424048801668, -1.8965213020251472, -7.111899511851728, 29.91539992408005, 29.44456432193189, 0.749183392342633, 31.14886383686727, 0.3487134926305427, 29.554064009069563]",14.648437500000002
21,"[42.60139760923491, 29.21080133456426, 36.309674205909545, 40.62120424910151, 17.709157819739644, 42.83343059655732, 33.20354737846321, 16.041128565484147, 33.688872406271706, 33.45680083586157, -0.47386086704646246, 19.216534335412447, 0.7914928094787226, 36.01122418921888]",4.8828125
22,"[32.71815754199913, 29.467076223779987, -32.975694250756234, 11.573495662667243, 19.656505608562533, 30.732474203413343, 19.66439958225095, 37.32286402197543, 33.16782931520197, 21.988256492524577, 0.3340078286846585, 47.952752124981984, -0.22473152782231384, 44.20293106596782]",0.0
23,"[42.28543997613481, 29.989024399841778, -2.5221557673331194, 20.65420425954299, 22.014117807159955, 25.42379677079291, 13.354249929926693, 16.960369001714586, 35.01125681215792, 26.247227332187993, -0.10789109809615063, 24.242408342229538, -0.05319913285312528, 37.53184394147544]",39.0625
24,"[27.67445262764546, 31.909548864231333, -48.30615978902224, 37.45186386316001, 30.45346537346224, 26.63471897763837, 12.65347336674975, -0.043506474232222175, 29.76186086669245, 42.14226502711344, 0.531571082190585, 19.653932314213947, 0.3539769033034614, 39.31936585074277]",39.0625
25,"[24.939407464957046, 30.448202504028067, -3.1012902196233783, 26.56208478118769, 27.00491337279389, 23.565593134010253, 25.986534460206396, -15.180211379332878, 19.04225683488563, 32.884923723964235, -0.6400148004541932, 26.827981136197245, -0.43227753944577535, 28.69996807831106]",48.82812500000001
26,"[24.80798565047136, 27.514621982429276, -18.482484959712774, 0.21367262762325157, 27.120801554048608, 29.169633858285593, 27.7761083071563, -19.891256492345782, 29.15110536772122, 27.722101334232025, 0.9605361656690394, 16.49294251531722, 0.6361824913094537, 25.611389941398656]",39.0625
27,"[33.28383706142572, 31.116816198334227, -11.772542682287527, -6.533788447485323, 31.453062461066537, 30.445981866502542, 8.653304781062332, 13.271061623920337, 28.926541347377945, 21.339140801248618, -0.05444197726236364, 23.00008526596577, 0.37869235745490215, 27.516412896591362]",9.765625
28,"[29.345845169757343, 32.05346739369627, -17.110329769487123, 11.69932716809762, 22.746960778698792, 30.90841835906647, 5.332022984661014, -1.9595531636335146, 31.940745884482332, 35.39633286662712, 0.023157036654103996, 39.27625009500022, -0.13315095913161187, 33.698818452295306]",307.6171875
29,"[27.876916364135802, 33.53357221666785, -21.694024195289483, 15.06308493988668, 21.84930334308338, 30.933996835380704, 5.333611624095385, -0.931356526755709, 30.734100344545375, 38.108329469107936, -0.07425936410618693, 39.03350684514091, 0.036319484710244175, 32.937249448171364]",53.7109375
30,"[27.052949294984764, 32.548384581559745, -25.367290553186308, 19.821082698071997, 20.754109169773454, 30.313063061587897, 8.150235634768876, -1.3856390665915792, 31.813306166917428, 35.38915064214728, 0.013048773302025024, 41.78926974261668, -0.2399381437785, 33.71543297003927]",9.765625
31,"[30.748511086523266, 32.718366176571365, -15.679745455529718, 9.10978732961117, 23.109023768192454, 30.88481035210971, 4.959253472537876, -4.881050662535389, 33.603393462079964, 36.33896652986282, 0.0063346486189636226, 40.394596788832146, -0.17271329888806267, 34.361292117185734]",332.03125
32,"[29.299722209143688, 32.05660042791983, -15.714486746519986, 15.644211808253631, 21.341762681342914, 31.16874220894521, 7.198373424897239, -0.35128267720768963, 33.12880089064824, 34.906136324365626, 0.08397573001463005, 40.8795367258932, -0.1170846038189296, 34.51986028432195]",24.414062500000004
33,"[32.82485586186816, 34.07695384658079, -16.655395506618706, 3.471226299020931, 24.508139882588324, 30.42778848709583, 4.301505051682247, -9.579293014133432, 35.30604949905137, 38.20715605274644, -0.07127979750023825, 41.31020721363868, -0.2449675607623325, 34.81801790599079]",366.2109375
34,"[31.317063419692058, 33.20848688423548, -16.856610273526154, 6.209651575655118, 24.07126358491215, 30.343438403348493, 4.868871462560259, -7.334432146875171, 33.79774036623622, 37.219746387516516, -0.043548715135388154, 40.34197167924502, -0.22314749654209476, 33.95623842571726]",332.03125
35,"[33.3801505289902, 35.25473588144903, -22.433164795685965, 7.036885347966694, 24.25997591516902, 31.585463290561943, 4.002852832723373, -11.158523339239922, 37.59623693914649, 37.36630768348698, -0.12262140075487943, 43.83135633386691, -0.37613392415133434, 36.66012833875476]",375.9765625
36,"[32.68305676381951, 36.139308308040086, -14.255656094338727, 8.157942781549082, 24.320414258667785, 27.61301560931449, 9.724235685616998, -17.16784857772087, 38.37792886041141, 41.25039943872988, -0.0770152226961752, 43.39462604075059, -0.4104728966300106, 34.454416704247066]",498.046875
37,"[31.852190490611942, 37.30175577985395, -11.111177789023017, 14.928854961379805, 24.25009197340657, 24.249082086139435, 16.161336079588985, -23.36557479358535, 39.92024545462349, 42.43212467051389, 0.023597433143669678, 44.958957369802775, -0.5954547077329995, 33.62645899744082]",190.4296875
38,"[33.47135084459757, 37.714855671041704, -14.39743054730182, 6.81278543472044, 24.897192817011494, 25.707920414074287, 11.381799190796194, -22.32261813443127, 40.674618641246546, 43.591260315994624, -0.07725672609660934, 44.93283259232038, -0.5229593385302826, 34.37362254311195]",53.7109375
39,"[32.61642835281429, 35.71123316736377, -13.000321199212708, 8.05705108139703, 24.012649603619085, 28.463184421757536, 9.107110138676383, -15.517138148466252, 37.690110582022314, 40.9178458284851, -0.08950029912426949, 42.820006463842056, -0.3393270860153917, 34.60522628829768]",659.1796875
40,"[32.39272678417, 35.25027110772381, -11.50319338988424, 6.854726735345335, 23.743547917460738, 29.115046284279995, 8.327572585529428, -13.782358400534514, 36.885345767166854, 41.27825181794682, -0.12957431418005616, 41.774212094971105, -0.2475275540878073, 34.330641599914316]",449.21875000000006
41,"[33.96286139881763, 35.56519317844872, -13.808379532740261, 10.312720561716679, 24.050152291629743, 28.53759044887923, 8.990029749174852, -16.34892639588433, 38.18439543077424, 38.95253327207282, 0.05287018821300566, 45.466484641892585, -0.4000718364634118, 36.01653236697127]",1499.0234375000002
42,"[34.4894268457766, 35.36368290453076, -7.628343898065909, 11.585772242142287, 23.81250539454484, 27.896271719115852, 11.11416414373905, -18.399821390392557, 38.39342898406759, 39.35355591462492, 0.11552852862006946, 45.88794347768866, -0.38404990856203325, 36.05336939062825]",629.8828125000001
43,"[34.89471018822994, 36.18648300360203, -14.150859171124726, 11.111740643514324, 24.262840907071002, 27.697539959920956, 10.042782178734734, -18.82909507315393, 39.362600342794565, 39.0540990673599, 0.11641064465638327, 47.52438456302731, -0.47937268636207137, 36.58747961339989]",488.28125000000006
44,"[34.90714557415896, 35.612853157513044, -10.128732246768196, 10.494727025897735, 24.018117144451395, 28.39211681495493, 10.21719856514113, -17.992914349137738, 38.6266765067017, 39.08548074402313, 0.09314819841854297, 46.46642910531066, -0.40169177080395796, 36.52867624466108]",825.1953125000001
45,"[34.66449718166755, 35.47764943648132, -8.669736196769971, 11.721284440451411, 23.75073850227878, 28.406484834590486, 10.94226337328963, -18.01788713112504, 38.49004802271596, 39.09399617273308, 0.09681202031001597, 46.27793239771778, -0.3952039692337719, 36.50769855602254]",708.0078125
46,"[33.84990286840568, 35.61124372191235, -13.166735119330465, 10.768675934097914, 23.96039516885905, 27.30574342428431, 8.926021469492499, -17.50846076579902, 38.496714496680404, 39.08547010888441, 0.14349918991501573, 45.81131547936994, -0.40840787308995996, 35.45775286111136]",659.1796875
47,"[35.23177201497765, 35.6144778822499, -8.972426348916017, 11.25496622107328, 24.127422204519103, 30.170315482571723, 12.749588496398237, -17.103195902897987, 38.301244700905535, 39.18658240410718, -0.06719272386870764, 46.41327435530425, -0.43338419559711117, 37.686020907986034]",463.8671875
48,"[33.85822095492474, 35.552575793439125, -14.406643805897101, 7.560423113709753, 23.891507916429745, 26.018616471080584, 4.427394129409084, -17.894251940034692, 38.87584949648358, 39.03586151334365, 0.2917032468217781, 45.457120475833165, -0.3235467743384873, 34.26301559285386]",292.96875000000006
49,"[35.168980595504294, 35.87050583345261, -8.76276537347906, 14.04968564649621, 24.666197814389026, 29.96792592784302, 16.52352593878799, -18.425132383097974, 38.39711250399305, 39.16599190129715, -0.1265894653854955, 46.99089460456118, -0.5581727572484495, 38.17393065786759]",595.7031250000001
50,"[34.68550356976395, 35.17812724211934, -10.53089769254897, 13.22428911011978, 22.56088337561909, 30.298489760419564, 12.698476092329255, -17.78617406762635, 38.677841894093824, 39.23233592326372, -0.062059893202778854, 47.20663123336161, -0.3121606355487673, 38.37133217654871]",0.0
51,"[36.03607836923151, 37.165056934154066, -9.656546508286862, 7.195559286791077, 27.74557028992623, 27.137646064705123, 10.22285101049789, -17.477680997327482, 38.516126087238305, 38.93765475886846, 0.1281581884808357, 45.482054153851934, -0.7410114609042375, 34.750860781898155]",24.414062500000004
52,"[33.595502917310796, 35.19528415375644, -18.95520683349479, 11.669063290617434, 24.142631904264867, 28.705185941543988, 6.118156315805707, -14.191255667924729, 37.70893198286202, 36.7087149917565, 0.15915673051091156, 45.755075521886724, -0.4272230457644766, 36.05100929047254]",1494.1406250000002
53,"[33.653822123351866, 35.437105173324866, -16.468007140064778, 10.5358533508899, 24.384116657586755, 28.819061332094623, 8.771667836323019, -15.200258291408835, 37.72827359928732, 38.43336610951203, 0.023249302784222495, 45.19195360226186, -0.4259185468704895, 36.04971788897411]",1381.8359375
54,"[33.66204742082583, 35.45412398086042, -17.24718326089432, 9.63757295366986, 23.880946700643783, 28.648091248780766, 5.564336461238061, -15.1328715323617, 38.217819843937264, 37.86406454344066, 0.1276922241046312, 45.285584111461596, -0.3822928893930633, 35.65876257516418]",1367.1875000000002
