,0
0,7.324218750000001e-11
1,3.90625e-11
2,4.8828125e-12
3,9.765625e-12
4,9.765625e-12
5,9.765625e-12
6,3.41796875e-11
7,4.8828125e-12
8,9.765625e-12
9,2.4414062500000002e-11
10,4.8828125e-12
11,4.8828125e-12
12,4.8828125e-12
13,1.4648437500000002e-11
14,0.0
15,4.8828125e-12
16,9.765625e-12
17,9.765625e-12
18,9.765625e-12
19,9.765625e-12
20,4.8828125e-12
21,0.0
22,6.54296875e-10
23,0.0
24,4.8828125e-12
25,0.0
26,4.8828125e-12
27,4.8828125e-12
28,4.3945312500000003e-10
29,5.517578125e-10
30,2.734375e-10
31,2.4414062500000004e-10
32,2.4414062500000002e-11
33,3.5156250000000005e-10
34,1.806640625e-10
35,6.884765625e-10
36,6.103515625e-10
37,4.833984375e-10
38,4.1015625e-10
39,6.494140625000001e-10
40,3.564453125e-10
41,6.4453125e-10
42,5.029296875e-10
43,5.810546875e-10
44,3.9062500000000003e-10
45,5.664062500000001e-10
46,5.56640625e-10
47,6.494140625000001e-10
48,4.3945312500000003e-10
49,6.396484375000001e-10
50,6.103515625e-10
51,7.714843750000001e-10
52,6.54296875e-10
53,7.861328125e-10
54,7.177734375000001e-10
55,6.201171875000001e-10
56,6.738281250000001e-10
57,6.005859375e-10
58,6.25e-10
59,8.935546875e-10
60,1.07421875e-09
61,1.6455078125000002e-09
62,1.416015625e-09
63,1.26953125e-09
64,3.7109375e-10
65,6.0546875e-10
66,1.6064453125000001e-09
67,6.591796875e-10
68,1.767578125e-09
69,1.7089843750000002e-09
