run_name,experiment,beta,num_elements,benders,first_element,fc,initial_current,final_current,transmission,energy,charge_state,isotope,path,bayesopt_type,bound_steering,step_weighted,num_iterations
20241021_010250,HEBT,3,14,1,MEBT:Q6,HEBT:FC5,836,752,0.9,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,70
20241021_011256,HEBT,3,4,0,HEBT:XCB0,HEBT:FC5,752,787,1.05,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,16
20241021_011612,HEBT,3,6,0,HEBT:XCB2,HEBT:FC10,787,713,0.91,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,49
20241021_012254,HEBT,3,6,0,HEBT:XCB8,HEBT2:FC1,713,674,0.94,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,48
20241021_012929,HEBT,3,4,0,HEBT:XCB12,HEBT2:FC4,674,657,0.98,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,22
20241021_013956,HEBT,3,9,1,HEBT2:XCB2,DRA:FC1,657,138,0.21,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,48
20241021_014810,HEBT,3,9,1,HEBT2:XCB2,DRA:FC1,657,177,0.27,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,91
20241021_020608,HEBT,3,9,1,HEBT2:XCB2,DRA:FC1,657,147,0.22,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,100
20241021_023503,HEBT,3,9,1,HEBT2:XCB2,DRA:FC1,657,527,0.8,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,100
20241021_031315,HEBT,3,9,1,HEBT2:XCB2,DRA:FC1,657,113,0.17,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,140
20241021_033337,HEBT,5,9,1,HEBT2:XCB2,DRA:FC1,657,351,0.53,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,140
20241021_041038,HEBT,5,9,1,HEBT2:XCB2,DRA:FC1,657,498,0.76,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,140
20241021_043507,HEBT,5,9,1,HEBT2:XCB2,DRA:FC1,657,193,0.29,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,153
20241021_050049,HEBT,3,9,1,HEBT2:XCB2,DRA:FC1,657,155,0.24,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,62
20241021_052135,HEBT,5,10,1,HEBT2:XCB2,DRA:FC1,657,96,0.15,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,55
20241021_054102,HEBT,5,9,1,HEBT2:XCB2,DRA:FC1,657,535,0.81,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,174
20241021_062044,HEBT,5,10,1,HEBT2:XCB2,DRA:FC1,657,568,0.86,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,191
20241106_085310,HEBT,5,14,1,MEBT:Q6,HEBT:FC5,750,217,0.29,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,74
20241106_091230,HEBT,3,14,1,MEBT:Q6,HEBT:FC5,750,566,0.75,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,97
20241106_092636,HEBT,3,4,0,HEBT:XCB0,HEBT:FC5,566,557,0.98,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,13
20241106_092821,HEBT,3,6,0,HEBT:XCB2,HEBT:FC10,557,431,0.77,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,105
20241106_094218,HEBT,3,6,0,HEBT:XCB8,HEBT2:FC1,431,3,0.01,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,76
20241106_095426,HEBT,3,6,0,HEBT:XCB2,HEBT:FC10,557,469,0.84,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,84
20241106_100501,HEBT,3,6,0,HEBT:XCB8,HEBT2:FC1,469,383,0.82,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,59
20241106_101257,HEBT,3,4,0,HEBT:XCB12,HEBT2:FC4,383,352,0.92,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,21
20241106_101743,HEBT,3,12,1,HEBT2:XCB2,DRA:FC1,352,77,0.22,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,84
20241106_103028,HEBT,5,12,1,HEBT2:XCB2,DRA:FC1,352,40,0.11,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,143
20241106_104654,HEBT,3,12,1,HEBT2:XCB2,DRA:FC1,352,46,0.13,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,86
20241106_112946,HEBT,3,9,1,HEBT2:XCB2,DRA:FC1,352,30,0.09,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,108
20241106_114332,HEBT,3,11,1,HEBT2:XCB2,DRA:FC1,352,241,0.69,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,177
20241106_122453,HEBT,5,9,1,HEBT2:XCB2,DRA:FC1,352,73,0.21,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,189
20241106_125917,HEBT,3,9,1,HEBT2:XCB2,DRA:FC1,332,36,0.11,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,129
20241106_134908,HEBT,3,14,1,MEBT:Q6,HEBT:FC5,1240,449,0.36,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,60
20241106_135702,HEBT,3,14,1,MEBT:Q6,HEBT:FC5,1240,283,0.23,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,116
20241106_141413,HEBT,5,14,1,MEBT:Q6,HEBT:FC5,1000,566,0.57,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,130
20241106_143505,HEBT,5,4,0,HEBT:XCB0,HEBT:FC5,566,572,1.01,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,16
20241106_143744,HEBT,5,6,0,HEBT:XCB2,HEBT:FC10,572,279,0.49,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,20
20241106_144023,HEBT,3,6,0,HEBT:XCB2,HEBT:FC10,572,530,0.93,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,126
20241106_145736,HEBT,3,6,0,HEBT:XCB8,HEBT2:FC1,530,5,0.01,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,94
20241106_153033,HEBT,5,4,0,HEBT:XCB12,HEBT2:FC4,530,426,0.8,464,3+,12C,ios-mws-hebt2-dragon,standard,0,0,29
